Ticker,銘柄名
1301,極洋
1305,ｉＦＴＯＰＩＸ（年１回決算型）
1306,ＮＦ　ＴＯＰＩＸ連動型上場投信
1308,上場インデックスファンドＴＯＰ
1309,上海株指数・上証５０連動型上場
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ
1311,ＮＦ　ＴＯＰＩＸ　Ｃｏｒｅ３０
1319,ＮＦ日経３００株価指数連動型
1320,ｉＦ日経２２５（年１回決算型）
1321,ＮＦ日経２２５連動型上場投信
1322,中国Ａ株パンダＣＳＩ３００
1325,ＮＦボベスパ連動型上場投信
1326,ＳＰＤＲゴールド・シェア
1328,ＮＦ金価格連動型上場投資信託
1329,ｉＳコア　日経２２５
1330,上場インデックスファンド２２５
1332,ニッスイ
1333,マルハニチロ
133A,グローバルＸ　超短期米国債
1343,ＮＦ東証ＲＥＩＴ連動型投信
1345,上場Ｊリート隔月分配型
1346,ＭＡＸＩＳ　日経２２５上場投信
1348,ＭＡＸＩＳ　トピックス上場投信
1349,ＡＢＦ汎アジア債券
1356,ＴＯＰＩＸベア２倍上場投信
1357,ＮＦ日経平均ダブルインバース
1358,上場日経レバレッジ指数
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ
1360,日経平均ベア２倍上場投信
1364,ｉシェアーズ　ＪＰＸ日経４００
1365,ｉＦ日経平均レバレッジ
1366,ｉＦ日経平均ダブルインバース
1367,ｉＦＴＰＸレバレッジ（２倍）
1368,ｉＦＴＰＸダブルインバース
1369,ＤＩＡＭ　ＥＴＦ　日経２２５
1375,ユキグニファクトリー
1376,カネコ種苗
1377,サカタのタネ
1379,ホクト
137A,Ｃｏｃｏｌｉｖｅ
1380,秋川牧園
1381,アクシーズ
1382,ホーブ
1383,ベルグアース
1384,ホクリヨウ
138A,光フードサービス
1397,ＳＭＤＡＭ日経２２５
1398,ＳＭＤＡＭ東証ＲＥＩＴ指数
1399,上場ＭＳＣＩ日本株高配当低ボラ
1401,エムビーエス
1407,ウエストＨＬＤＧ
140A,ｉＦ米国１０年国債先物インバ
1414,ショーボンドＨＬＤＧ
1417,ミライト・ワン
1418,インターライフＨＬＤＧ
1419,タマホーム
141A,トライアルＨＬＤＧ
1420,サンヨーホームズ
1429,日本アクア
142A,ジンジブ
1430,ファーストコーポレーション
1431,Ｌｉｂ　Ｗｏｒｋ
1433,ベステラ
1434,ＪＥＳＣＯ　ＨＬＤＧ
1435,ｒｏｂｏｔ　ｈｏｍｅ
1436,グリーンエナジー＆カンパニー
1438,岐阜造園
143A,イシン
1443,技研ＨＬＤＧ
1444,ニッソウ
1446,キャンディル
1447,ＳＡＡＦＨＬＤＧ
1449,ＦＵＪＩジャパン
1450,ＴＡＮＡＫＥＮ
1456,ｉＦ日経平均インバース
1457,ｉＦＴＯＰＩＸインバース
1458,楽天ＥＴＦ日経レバレッジ指数
1459,楽天ＥＴＦ日経ダブルインバース
145A,Ｌ　ｉｓ　Ｂ
1466,ｉＦＪＰＸ４００ダブルインバ
1469,ＪＰＸ日経４００ベア２倍
146A,コロンビア・ワークス
1472,ＮＦ　ＪＰＸ４００ダブルインバ
1473,ＤＩＡＭ　ＥＴＦ　トピックス
1474,ＤＩＡＭ　ＪＰＸ日経４００
1475,ｉＳコア　ＴＯＰＩＸ
1476,ｉＳコア　Ｊリート
1477,ｉシェアーズＭＳＣＩ最小分散
1478,ｉシェアーズＭＳＣＩ高配当
1479,ｉＦＭＳＣＩ日本株人材設備
147A,ソラコム
1480,ＮＦ野村企業価値分配指数連動型
1481,上場日本経済貢献株
1482,ｉＳ米国債７―１０年円ヘッジ
1483,ｉＳ　ＪＰＸ／Ｓ＆Ｐ設備・人材
1484,Ｏｎｅ設備人材投資
1485,ＭＸＳ積極投資企業２００上場
1486,上場米国債券（為替ヘッジなし）
1487,上場米国債券（為替ヘッジあり）
1488,ＩＦ上場投信―東証ＲＥＩＴ
1489,ＮＦ日経平均高配当株５０指数
148A,ハッチ・ワーク
1490,上場ＭＳＣＩベータヘッジ
1491,中外鉱業
1493,Ｏｎｅ　ＪＰＸ日経中小型
1494,Ｏｎｅ高配当日本株
1495,上場アジアリート
1496,ｉＳ米ドルＩＧ社債ヘッジ
1497,ｉＳ米ドルＨＹ社債ヘッジ
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ
1499,ＭＸＳ日本株高配当７０ＭＮ
149A,シンカ
150A,ＪＳＨ
1514,住石ＨＬＤＧ
1515,日鉄鉱業
1518,三井松島ＨＬＤＧ
151A,ダイブ
153A,カウリス
1540,純金上場信託
1541,純プラチナ上場信託
1542,純銀上場信託
1543,純パラジウム上場信託
1545,ＮＦ　ＮＡＳＤＡＱ―１００ヘな
1546,ＮＦダウ・ジョーンズ工業株３０
1547,上場米国株式Ｓ＆Ｐ５００
1550,ＭＸＳ外株（ＭＳＣＩコクサイ）
1551,東証スタンダードＴＯＰ２０
1553,ＭＡＸＩＳ　Ｓ＆Ｐ東海上場投信
1554,上場ＭＳＣＩ世界株式除く日本
1555,上場豪州リート
1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ
1559,ＮＦタイ株式ＳＥＴ５０指数
155A,情報戦略テクノロジー
1560,ＮＦ　ＦＴＳＥブルサＫＬＣＩ
1563,東証グロース・コアＥＴＦ
1566,上場新興国債券
1568,ＴＯＰＩＸブル２倍上場投信
1569,ＴＯＰＩＸベア上場投信
156A,マテリアルグループ
1570,ＮＦ日経レバ連動型上場投信
1571,ＮＦ日経インバ連動型上場投信
1572,中国Ｈ株ブル２倍上場投信
1573,中国Ｈ株ベア上場投信
1577,ＮＦ野村日本株高配当７０連動型
1578,上場日経２２５（ミニ）
1579,日経平均ブル２倍上場投信
157A,グリーンモンスター
1580,日経平均ベア上場投信
1585,ｉＦＴＰＸ　Ｅｘ−Ｆｉｎ
1586,上場ＴＯＰＩＸ　Ｅｘ−Ｆｉｎ
1591,ＮＦ　ＪＰＸ日経４００連動型
1592,上場ＪＰＸ日経４００
1593,ＭＡＸＩＳ　ＪＰＸ日経４００
1595,ＮＺＡＭ東証ＲＥＩＴ指数
1596,ＮＺＡＭ　ＴＯＰＩＸ　Ｅｘ−Ｆ
1597,ＭＡＸＩＳ　Ｊリート上場投信
1599,ｉＦ　ＪＰＸ日経４００
159A,ＮＦ　ＪＰＸプライム１５０
1605,ＩＮＰＥＸ
160A,アズパートナーズ
1615,ＮＦ銀行業指数投信
1617,ＮＦ食品ＴＰＸ１７
1618,ＮＦエネルギー資源ＴＰＸ１７
1619,ＮＦ建設・資材ＴＰＸ１７
1620,ＮＦ素材・化学ＴＰＸ１７
1621,ＮＦ医薬品ＴＰＸ１７
1622,ＮＦ自動車・輸送機ＴＰＸ１７
1623,ＮＦ鉄鋼・非鉄ＴＰＸ１７
1624,ＮＦ機械ＴＰＸ１７
1625,ＮＦ電機・精密ＴＰＸ１７
1626,ＮＦ情報通信サービスＴＰＸ１７
1627,ＮＦ電力・ガスＴＰＸ１７
1628,ＮＦ運輸・物流ＴＰＸ１７
1629,ＮＦ商社・卸売ＴＰＸ１７
162A,ＡＩセレクトメガトレンドＥＴＮ
1630,ＮＦ小売ＴＰＸ１７
1631,ＮＦ銀行ＴＰＸ１７
1632,ＮＦ金融（除く銀行）ＴＰＸ１７
1633,ＮＦ不動産ＴＰＸ１７
163A,半導体フォーカス日本株ＥＴＮ
1651,ｉＦ　ＴＯＰＩＸ高配当４０
1652,ｉＦ　ＭＳＣＩ日本株女性活躍
1653,ｉＦ　ＭＳＣＩＥＳＧセレクト
1654,ｉＦ　ＦＴＳＥブロッサム
1655,ｉＳ　Ｓ＆Ｐ５００米国株
1656,ｉＳコア米国債７―１０年
1657,ｉＳコアＭＳＣＩ先進国株
1658,ｉＳコアＭＳＣＩ新興国株
1659,ｉＳ米国リート
